Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
True,CCAFS,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5[,Success,30 May 2020,19:22
True,CCAFS,,"15,410 kg",LEO,SpaceX,"Success
",F9 B5,Success,4 June 2020,01:25
True,CCAFS,,"4,311 kg",MEO,U.S. Space Force,"Success
",F9 B5,Success,13 June 2020,09:21
True,CCAFS,,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
",F9 B5,Success,30 June 2020,20:10:46
True,KSC,,"14,932 kg",LEO,SpaceX,"Success
",F9 B5B1058.2544,Success,20 July 2020,21:30
True,CCAFS,,"~15,440 kg",LEO,SpaceX,"Success
",F9 B5,Success,7 August 2020,05:12
True,CCAFS,,"3,130 kg",SSO,CONAE,"Success
",F9 B5B1049.6544,Success,18 August 2020,14:31
True,KSC,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,30 August 2020,23:18
True,KSC,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.2563,Success,3 September 2020,12:46:14
True,KSC,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1058.3565,Success,6 October 2020,11:29:34
True,CCAFS,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.6568,Success,18 October 2020,12:25:57
True,CCAFS,,"4,311 kg",MEO,USSF,"Success
",F9 B5,Success,24 October 2020,15:31:34
True,KSC,,"~12,500 kg",LEO,NASA,"Success
",F9 B5,Success,5 November 2020,23:24:23
True,VAFB,,"1,192 kg",LEO,NASA,"Success
",F9 B5[,Success,16 November 2020,00:27
True,CCAFS,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,21 November 2020,17:17:08
True,KSC,,"2,972 kg",LEO,NASA,"Success
",F9 B5 ♺[,Success,25 November 2020,02:13
True,CCSFS,,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5 ♺[,Success,6 December 2020,16:17:08
True,KSC,,C,LEO,NRO,"Success
",F9 B5 ♺,Success,13 December 2020,17:30:00
True,CCSFS,,"3,500 kg",GTO,Türksat,"Success
",F9 B5 ♺,Success,19 December 2020,14:00:00
True,KSC,,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,8 January 2021,02:15
True,CCSFS,,"~5,000 kg",SSO,,,F9 B5B1051.8609,,20 January 2021,13:02
True,,,,,,,F9 B5B1058.5613,,24 January 2021,15:00
